job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
7,w0,delay_15,2.230000,4,23.000000,1,COMPLETED_SUCCESSFULLY,2.230000,15.000000,17.230000,0.000000,15.000000,1.000000,31-34,-1.000000,""
5,w0,delay_16,1.970000,3,24.000000,1,COMPLETED_SUCCESSFULLY,1.970000,16.000000,17.970000,0.000000,16.000000,1.000000,16-18,-1.000000,""
0,w0,ph_25,0.370000,3,38.000000,1,COMPLETED_SUCCESSFULLY,0.370000,25.000000,25.370000,0.000000,25.000000,1.000000,0-2,-1.000000,""
3,w0,delay_38,1.250000,2,57.000000,1,COMPLETED_SUCCESSFULLY,1.250000,38.000000,39.250000,0.000000,38.000000,1.000000,12-13,-1.000000,""
2,w0,delay_45,0.870000,1,68.000000,1,COMPLETED_SUCCESSFULLY,0.870000,45.000000,45.870000,0.000000,45.000000,1.000000,11,-1.000000,""
8,w0,delay_46,2.870000,3,69.000000,1,COMPLETED_SUCCESSFULLY,2.870000,46.000000,48.870000,0.000000,46.000000,1.000000,35-37,-1.000000,""
4,w0,delay_54,1.850000,2,81.000000,1,COMPLETED_SUCCESSFULLY,1.850000,54.000000,55.850000,0.000000,54.000000,1.000000,14-15,-1.000000,""
10,w0,delay_50,3.630000,4,75.000000,1,COMPLETED_SUCCESSFULLY,17.970000,50.000000,67.970000,14.340000,64.340000,1.286800,16-18 46,-1.000000,""
14,w0,delay_30,4.670000,1,45.000000,1,COMPLETED_SUCCESSFULLY,48.870000,30.000000,78.870000,44.200000,74.200000,2.473333,35,-1.000000,""
11,w0,delay_54,3.700000,3,81.000000,1,COMPLETED_SUCCESSFULLY,25.370000,54.000000,79.370000,21.670000,75.670000,1.401296,0-2,-1.000000,""
12,w0,ph_44,4.080000,2,66.000000,1,COMPLETED_SUCCESSFULLY,39.250000,44.000000,83.250000,35.170000,79.170000,1.799318,12-13,-1.000000,""
9,w0,delay_70,2.900000,12,105.000000,1,COMPLETED_SUCCESSFULLY,17.230000,70.000000,87.230000,14.330000,84.330000,1.204714,31-34 38-45,-1.000000,""
13,w0,delay_53,4.140000,2,80.000000,1,COMPLETED_SUCCESSFULLY,45.870000,53.000000,98.870000,41.730000,94.730000,1.787358,11 47,-1.000000,""
1,w0,delay_135,0.860000,8,203.000000,1,COMPLETED_SUCCESSFULLY,0.860000,135.000000,135.860000,0.000000,135.000000,1.000000,3-10,-1.000000,""
6,w0,ph_163,2.010000,12,146.000000,0,COMPLETED_WALLTIME_REACHED,2.010000,146.000000,148.010000,0.000000,146.000000,1.000000,19-30,-1.000000,""
15,w0,delay_174,4.700000,32,261.000000,1,COMPLETED_SUCCESSFULLY,135.860000,174.000000,309.860000,131.160000,305.160000,1.753793,0-18 31-43,-1.000000,""
18,w0,ph_18,5.810000,2,27.000000,1,COMPLETED_SUCCESSFULLY,309.860000,18.000000,327.860000,304.050000,322.050000,17.891667,39-40,-1.000000,""
19,w0,delay_19,5.850000,1,29.000000,1,COMPLETED_SUCCESSFULLY,309.860000,19.000000,328.860000,304.010000,323.010000,17.000526,41,-1.000000,""
23,w0,delay_10,8.900000,4,15.000000,1,COMPLETED_SUCCESSFULLY,328.860000,10.000000,338.860000,319.960000,329.960000,32.996000,39-41 47,-1.000000,""
